region,month,hours_per_week,deliveries_per_day,income_mean,income_variability,stress_level,work_life_balance,burnout_risk
Hamburg,10,50.4,15.2,1195.0,0.56,4.4,5.4,0
Cologne,1,56.9,18.5,1472.0,0.79,3.3,8.1,1
Frankfurt,8,52.2,16.1,1164.0,0.9,4.9,4.8,1
Cologne,10,55.0,14.9,1292.0,0.9,6.4,3.3,1
Hamburg,5,37.4,17.2,1337.0,0.84,6.5,4.2,0
Cologne,11,30.8,10.4,875.0,0.33,1.3,8.6,0
Berlin,1,60.0,23.3,1712.0,0.9,5.4,4.7,1
Cologne,10,41.8,17.1,1503.0,0.44,3.6,3.9,0
Munich,10,42.5,11.3,800.0,0.72,6.3,3.7,1
Munich,11,58.3,23.1,2168.0,0.67,5.8,2.4,1
Munich,1,50.6,18.4,1424.0,0.6,3.7,5.1,1
Munich,11,49.6,13.4,1053.0,0.69,5.8,2.9,1
Berlin,10,66.7,23.6,2004.0,0.9,6.1,2.9,1
Frankfurt,12,38.6,9.8,945.0,0.4,2.0,7.4,0
Munich,3,54.3,22.9,2017.0,0.9,4.1,5.4,1
Munich,6,45.6,17.6,1766.0,0.9,7.2,3.5,1
Frankfurt,2,47.7,15.7,1387.0,0.76,5.3,4.9,0
Munich,8,60.3,23.9,1898.0,0.57,6.2,1.9,1
Frankfurt,11,50.1,11.9,850.0,0.78,4.6,5.5,1
Munich,10,50.4,14.5,1137.0,0.9,5.5,4.8,1
Frankfurt,7,55.7,17.8,1722.0,0.67,6.0,3.7,1
Frankfurt,11,41.4,20.5,1362.0,0.9,4.6,5.4,0
Hamburg,2,36.6,9.0,800.0,0.8,3.8,6.4,0
Cologne,1,34.6,6.4,800.0,0.9,4.8,6.0,0
Frankfurt,7,25.3,5.0,800.0,0.82,2.6,5.9,0
Munich,7,65.6,24.6,1884.0,0.58,5.1,4.7,0
Berlin,3,34.0,9.5,1124.0,0.59,2.5,9.0,0
Frankfurt,10,42.8,13.8,1043.0,0.33,1.3,10.0,0
Munich,8,42.2,16.4,1392.0,0.6,7.3,3.6,1
Frankfurt,8,48.1,15.6,912.0,0.9,6.1,4.4,0
Hamburg,5,53.2,18.3,1246.0,0.9,4.1,7.6,1
Berlin,7,53.6,19.5,1744.0,0.9,4.9,7.0,1
Berlin,3,39.2,11.8,1275.0,0.51,3.0,6.9,0
Munich,6,43.3,13.9,1160.0,0.65,6.6,2.4,1
Cologne,3,47.8,16.7,1272.0,0.67,2.7,7.1,0
Hamburg,11,42.5,16.8,1441.0,0.54,4.4,8.7,0
Cologne,12,61.1,18.0,919.0,0.67,5.9,2.5,1
Berlin,9,49.9,7.6,800.0,0.9,6.2,3.3,1
Berlin,7,52.3,19.5,1350.0,0.9,5.1,3.5,1
Cologne,1,51.6,20.0,1758.0,0.86,2.5,7.6,1
Frankfurt,8,56.7,19.5,1122.0,0.75,5.3,3.5,1
Cologne,9,46.8,16.4,1187.0,0.7,3.2,6.7,0
Cologne,10,32.0,9.0,800.0,0.83,3.3,4.7,0
Frankfurt,2,49.0,17.8,1274.0,0.7,7.1,3.6,1
Frankfurt,1,38.5,15.4,1156.0,0.76,1.2,10.0,0
Frankfurt,11,39.7,13.4,1253.0,0.35,2.8,6.8,0
Hamburg,4,50.9,24.4,1949.0,0.89,4.3,5.6,1
Berlin,9,57.4,14.4,969.0,0.9,5.2,4.7,1
Berlin,6,45.2,15.6,1433.0,0.66,5.6,4.5,0
Frankfurt,11,48.1,12.5,1051.0,0.86,4.5,5.4,0
Frankfurt,12,62.0,23.3,1924.0,0.67,6.8,3.9,1
Hamburg,10,47.4,11.1,800.0,0.74,3.8,7.4,0
Hamburg,8,70.0,19.3,1037.0,0.9,7.3,1.8,1
Munich,7,50.7,15.0,1018.0,0.9,6.2,3.5,1
Cologne,5,27.4,9.9,800.0,0.87,1.6,9.3,0
Berlin,5,52.5,15.7,1135.0,0.63,6.4,2.2,1
Berlin,6,48.8,14.5,993.0,0.74,5.0,3.1,1
Hamburg,6,57.9,18.8,1523.0,0.9,7.4,2.9,1
Cologne,5,51.7,16.5,1498.0,0.78,4.9,5.6,1
Hamburg,8,43.6,19.0,1735.0,0.9,4.9,4.3,0
Munich,3,32.8,13.0,1206.0,0.62,3.2,6.2,0
Munich,9,42.9,13.3,887.0,0.88,4.1,5.1,0
Munich,5,36.5,18.5,1488.0,0.9,4.0,5.1,0
Hamburg,9,39.2,14.5,1476.0,0.9,4.7,6.0,0
Cologne,5,50.9,14.1,807.0,0.88,3.2,5.6,1
Frankfurt,3,61.7,21.3,1977.0,0.75,8.3,1.4,1
Berlin,9,48.9,17.9,1235.0,0.57,2.1,7.0,0
Frankfurt,2,33.0,9.0,800.0,0.42,2.3,6.3,0
Cologne,12,49.4,13.3,1149.0,0.55,4.8,6.1,0
Hamburg,5,57.0,19.2,1578.0,0.81,6.3,3.2,1
Hamburg,3,38.9,11.9,1397.0,0.9,6.3,3.9,1
Hamburg,7,43.7,19.0,1459.0,0.63,1.6,6.9,0
Munich,4,45.1,17.3,1054.0,0.9,3.8,5.5,0
Munich,8,37.2,10.5,908.0,0.81,1.0,9.8,0
Munich,1,51.5,18.4,1441.0,0.51,5.2,7.4,0
Frankfurt,5,43.8,18.4,1583.0,0.54,4.8,3.2,0
Berlin,8,49.2,12.2,1154.0,0.74,7.3,2.5,1
Hamburg,2,36.1,9.0,800.0,0.76,3.8,6.6,0
Hamburg,6,40.6,13.5,1168.0,0.52,5.6,3.8,0
Frankfurt,7,52.2,17.5,1430.0,0.9,6.1,4.8,1
Berlin,6,41.3,13.6,1446.0,0.41,3.5,5.7,0
Berlin,10,62.3,19.8,1512.0,0.5,4.1,6.0,0
Frankfurt,3,41.0,12.7,878.0,0.65,4.5,5.0,0
Hamburg,6,47.2,16.9,1528.0,0.66,2.5,8.7,0
Cologne,7,54.3,21.5,1535.0,0.9,7.4,1.9,1
Cologne,3,30.8,8.8,800.0,0.9,2.8,6.8,0
Berlin,12,27.4,16.4,1282.0,0.9,4.5,6.4,0
Berlin,10,29.7,15.8,1243.0,0.38,2.3,6.7,0
Hamburg,2,57.6,23.2,2343.0,0.89,6.2,3.9,1
Berlin,3,39.5,15.0,1449.0,0.68,4.3,3.9,1
Frankfurt,12,70.0,29.4,2553.0,0.62,6.9,2.0,1
Cologne,1,39.4,12.2,1086.0,0.7,3.3,7.1,0
Cologne,7,46.8,13.1,911.0,0.68,5.3,3.7,1
Berlin,4,60.4,18.6,1537.0,0.64,4.7,4.8,1
Frankfurt,3,65.1,18.7,1611.0,0.49,4.7,5.8,0
Berlin,6,65.6,22.2,1819.0,0.9,8.4,1.0,1
Berlin,3,57.1,19.9,1613.0,0.9,6.8,4.0,1
Frankfurt,12,55.2,19.0,1442.0,0.65,5.6,4.6,1
Frankfurt,11,50.9,16.9,1410.0,0.9,7.6,2.8,1
Munich,10,52.8,18.0,1334.0,0.9,4.9,6.4,1
Cologne,3,39.5,18.4,1610.0,0.9,5.9,4.4,0
Berlin,9,36.8,14.1,800.0,0.79,3.9,7.6,0
Hamburg,2,45.0,17.8,1692.0,0.57,3.0,8.0,0
Berlin,5,43.3,15.0,938.0,0.82,7.1,2.4,1
Berlin,10,40.5,8.6,800.0,0.75,5.5,5.8,0
Hamburg,10,52.0,11.9,1032.0,0.9,5.0,5.2,1
Cologne,2,54.6,24.4,2063.0,0.9,6.5,3.1,1
Munich,6,45.9,13.7,1512.0,0.57,4.0,6.3,0
Frankfurt,4,59.8,18.1,1505.0,0.9,7.2,3.9,1
Munich,7,33.6,11.9,946.0,0.61,1.0,9.5,0
Berlin,1,43.1,16.0,1319.0,0.83,2.8,9.0,0
Berlin,8,37.8,14.6,1489.0,0.52,5.3,5.8,0
Hamburg,2,26.3,14.1,1613.0,0.73,2.3,8.3,0
Hamburg,4,44.2,19.2,1501.0,0.64,4.7,4.2,0
Berlin,11,43.8,12.2,1081.0,0.4,2.4,7.5,0
Munich,7,60.1,23.0,1821.0,0.9,8.8,1.3,1
Munich,8,51.3,16.0,1257.0,0.74,6.9,3.8,1
Cologne,9,34.8,11.2,1270.0,0.8,3.2,7.5,0
Berlin,5,63.5,17.9,1247.0,0.58,5.7,4.4,0
Frankfurt,9,57.2,14.0,800.0,0.9,7.3,2.9,1
Frankfurt,9,50.8,16.8,1411.0,0.9,8.1,2.7,1
Munich,3,42.7,11.4,1150.0,0.66,5.7,3.4,1
Hamburg,7,35.4,14.6,1211.0,0.9,6.8,4.9,0
Hamburg,8,41.3,12.9,1134.0,0.42,2.7,5.2,0
Munich,1,55.9,19.6,1715.0,0.81,4.4,7.1,1
Cologne,11,63.8,25.4,2053.0,0.47,4.6,5.4,0
Berlin,10,60.4,15.7,1366.0,0.74,6.7,4.3,1
Frankfurt,5,40.1,11.2,1004.0,0.9,4.3,6.1,0
Munich,1,33.8,11.8,800.0,0.43,3.2,7.2,0
Hamburg,3,46.4,16.4,1335.0,0.85,5.9,4.7,0
Berlin,2,27.3,12.4,800.0,0.47,4.6,6.2,0
Frankfurt,2,48.2,18.7,1487.0,0.73,2.5,7.1,0
Cologne,4,43.5,14.8,1085.0,0.54,3.5,7.6,0
Munich,5,40.3,14.4,1355.0,0.65,5.3,3.7,1
Berlin,11,29.1,10.7,903.0,0.51,2.2,7.8,0
Frankfurt,1,50.1,12.3,1079.0,0.51,3.8,7.0,0
Cologne,11,39.7,12.8,982.0,0.9,5.5,5.5,0
Hamburg,6,33.3,11.8,1158.0,0.81,1.4,9.1,0
Berlin,11,20.0,8.0,800.0,0.8,1.5,8.1,0
Munich,11,44.7,12.1,800.0,0.51,5.0,5.9,0
Frankfurt,5,62.7,17.1,1625.0,0.61,5.4,3.9,1
Hamburg,4,61.6,19.8,1500.0,0.9,7.3,4.4,1
Hamburg,6,40.4,19.4,1121.0,0.9,3.2,6.7,0
Frankfurt,2,39.0,10.5,1133.0,0.86,6.0,2.4,1
Frankfurt,8,49.7,20.1,1822.0,0.64,4.8,4.0,0
Frankfurt,6,35.0,16.4,1456.0,0.9,4.5,5.5,0
Berlin,3,48.0,16.1,1310.0,0.58,5.9,4.2,0
Munich,4,52.7,15.5,1573.0,0.9,4.3,7.6,1
Hamburg,12,57.3,20.6,1902.0,0.9,2.6,6.3,1
Cologne,2,44.0,15.3,1530.0,0.9,4.9,5.1,0
Frankfurt,4,43.0,11.7,1079.0,0.51,4.4,4.5,0
Munich,9,36.2,10.1,832.0,0.75,4.5,5.1,0
Cologne,4,36.7,13.6,1009.0,0.72,3.3,8.4,0
Berlin,8,42.7,17.0,1110.0,0.5,3.6,5.2,0
Hamburg,3,48.7,15.3,1321.0,0.9,7.9,2.7,1
Munich,5,54.1,17.8,1544.0,0.75,3.2,7.2,1
Munich,2,37.0,14.3,1076.0,0.64,4.8,5.2,0
Hamburg,9,59.9,19.5,1679.0,0.65,5.1,5.4,1
Hamburg,9,42.3,13.2,989.0,0.42,3.7,5.1,0
Frankfurt,10,44.8,12.7,1187.0,0.9,4.0,7.7,0
Hamburg,7,37.5,10.2,800.0,0.81,2.5,9.4,0
Munich,2,20.8,14.9,983.0,0.8,2.9,7.1,0
Frankfurt,4,53.8,17.4,1341.0,0.59,7.5,5.0,1
Hamburg,6,52.4,21.6,1890.0,0.87,5.9,3.7,1
Cologne,9,42.2,19.1,1297.0,0.53,4.4,6.0,0
Cologne,6,45.7,14.7,1384.0,0.75,3.1,8.3,0
Hamburg,4,50.2,17.8,1097.0,0.86,5.8,3.7,1
Munich,1,29.4,10.1,800.0,0.9,6.2,2.4,1
Frankfurt,7,39.7,8.4,800.0,0.52,3.4,5.0,0
Frankfurt,7,52.9,13.0,800.0,0.45,4.7,7.3,0
Frankfurt,6,32.5,11.0,951.0,0.87,2.4,7.1,0
Berlin,3,47.9,14.7,1141.0,0.9,4.1,5.8,0
Hamburg,5,31.4,16.2,1013.0,0.52,1.0,7.9,0
Berlin,7,49.7,15.8,1164.0,0.53,5.6,5.4,0
Berlin,6,44.6,20.7,1747.0,0.66,3.2,6.0,0
Cologne,7,28.8,8.2,800.0,0.56,1.0,8.5,0
Frankfurt,5,56.6,24.6,1930.0,0.9,6.8,3.5,1
Berlin,12,37.7,14.1,1046.0,0.74,2.1,6.8,0
Munich,1,36.9,14.0,1003.0,0.4,3.2,6.6,0
Hamburg,10,47.0,14.1,1012.0,0.9,6.9,4.5,0
Munich,11,56.5,20.6,1520.0,0.46,3.5,6.9,0
Frankfurt,5,34.8,16.7,1185.0,0.31,1.2,8.9,0
Cologne,2,45.6,14.8,978.0,0.69,5.0,5.2,0
Munich,10,49.3,15.4,1157.0,0.58,6.7,3.0,0
Munich,10,51.9,16.6,1198.0,0.84,2.8,9.2,1
Berlin,2,46.8,20.4,1422.0,0.74,5.3,3.9,1
Munich,4,41.3,16.3,1461.0,0.8,5.0,5.2,0
Cologne,6,36.7,16.6,1573.0,0.6,1.0,9.1,0
Munich,5,45.9,16.2,1298.0,0.9,5.8,5.2,0
Munich,7,34.3,11.5,937.0,0.9,4.7,6.4,0
Frankfurt,10,20.0,7.9,800.0,0.79,1.5,8.4,0
Cologne,8,49.4,19.7,1787.0,0.77,6.8,3.5,1
Munich,10,54.0,17.3,1729.0,0.64,7.1,3.2,1
Frankfurt,1,21.4,11.2,866.0,0.67,2.3,5.4,0
Hamburg,8,34.9,12.7,914.0,0.6,2.8,5.6,0
Munich,3,51.2,9.8,856.0,0.52,3.7,5.7,0
Munich,10,65.6,24.5,1986.0,0.58,6.5,2.9,1
Frankfurt,12,45.2,11.3,800.0,0.73,5.4,3.4,1
Frankfurt,10,37.7,15.2,1306.0,0.75,3.3,7.5,0
Frankfurt,2,43.2,17.1,1555.0,0.63,1.0,9.0,0
Munich,2,58.7,20.6,1489.0,0.9,7.8,2.0,1
Berlin,5,38.5,14.5,1667.0,0.69,4.1,4.6,0
Berlin,2,37.0,15.6,944.0,0.55,3.1,6.8,0
Frankfurt,4,40.2,11.9,800.0,0.79,5.3,2.1,1
Berlin,3,35.5,14.2,1183.0,0.9,5.8,4.0,0
Hamburg,8,46.2,18.9,1961.0,0.28,1.0,9.1,0
Berlin,9,61.2,25.7,1943.0,0.86,6.8,3.5,1
Berlin,11,48.2,12.8,808.0,0.53,2.7,5.8,0
Munich,12,42.5,15.4,1341.0,0.51,5.0,5.2,0
Berlin,6,42.1,11.1,842.0,0.68,4.4,4.6,0
Frankfurt,4,29.4,6.8,800.0,0.78,3.9,5.3,0
Munich,11,53.8,19.0,1508.0,0.75,4.6,6.1,1
Berlin,11,44.2,15.0,1026.0,0.3,1.6,10.0,0
Hamburg,2,43.2,17.8,1896.0,0.73,3.6,6.4,0
Munich,11,70.0,22.3,1193.0,0.72,7.6,1.6,1
Munich,8,48.0,15.6,1612.0,0.72,6.3,3.9,1
Munich,3,37.5,13.1,1237.0,0.49,2.0,8.9,0
Berlin,2,40.7,11.0,800.0,0.9,5.6,5.0,0
Frankfurt,4,56.5,16.7,1707.0,0.46,4.7,8.1,0
Cologne,2,46.1,18.7,1224.0,0.67,5.2,4.1,0
Cologne,3,30.6,8.6,886.0,0.55,2.3,8.0,0
Cologne,9,54.2,21.6,1312.0,0.86,5.7,5.9,1
Berlin,7,38.3,14.6,938.0,0.9,5.2,6.3,0
Hamburg,11,63.7,16.6,1098.0,0.86,4.5,3.5,1
Munich,1,55.8,20.2,1465.0,0.88,4.6,5.4,1
Munich,10,40.5,15.1,1208.0,0.53,4.3,7.2,0
Frankfurt,5,57.8,20.5,1478.0,0.9,9.4,3.5,1
Munich,5,45.7,14.8,800.0,0.61,3.3,7.4,0
Frankfurt,9,53.5,15.0,1294.0,0.63,8.4,1.2,1
Berlin,12,49.8,20.7,1662.0,0.9,8.0,1.0,1
Cologne,1,36.5,11.9,1032.0,0.74,3.5,8.7,0
Frankfurt,1,38.6,10.2,851.0,0.45,3.4,7.3,0
Frankfurt,10,55.3,19.8,1775.0,0.9,4.5,4.7,1
Munich,7,41.7,11.7,917.0,0.74,4.1,5.7,0
Berlin,7,41.0,10.8,1067.0,0.58,2.0,8.3,0
Cologne,11,35.4,10.7,800.0,0.61,3.4,7.1,0
Berlin,8,49.2,14.4,1010.0,0.68,7.2,1.9,1
Cologne,4,65.6,19.1,1806.0,0.9,5.6,3.7,1
Hamburg,7,34.3,13.9,1380.0,0.77,3.1,5.3,0
Berlin,6,45.2,14.7,1294.0,0.64,2.0,9.1,0
Hamburg,1,59.1,23.5,1699.0,0.9,6.5,3.2,1
Cologne,2,44.2,12.2,800.0,0.9,4.8,5.6,0
Frankfurt,8,49.5,11.3,1172.0,0.83,5.0,6.4,0
Hamburg,6,34.4,11.9,1207.0,0.42,3.1,7.1,0
Cologne,7,49.3,22.0,1747.0,0.84,4.5,5.4,0
Cologne,8,43.1,16.0,1746.0,0.79,5.1,5.1,0
Hamburg,12,54.9,27.9,2326.0,0.9,5.4,4.6,1
Berlin,5,56.9,20.0,1375.0,0.9,6.2,5.1,1
Frankfurt,5,70.0,24.0,1868.0,0.77,7.3,3.0,1
Cologne,2,50.8,10.5,838.0,0.62,6.8,2.7,1
Berlin,4,48.3,17.4,1407.0,0.78,5.8,5.2,0
Cologne,11,46.9,16.2,1542.0,0.86,5.0,6.2,0
Cologne,2,41.5,12.6,817.0,0.63,6.4,2.2,1
Cologne,7,48.4,15.7,991.0,0.86,5.5,6.1,0
Berlin,11,42.0,13.8,1225.0,0.9,6.2,4.2,0
Munich,9,46.7,15.0,1100.0,0.57,5.6,4.7,0
Frankfurt,11,58.2,25.7,2538.0,0.78,3.1,8.0,1
Frankfurt,2,34.9,10.5,1031.0,0.51,5.5,4.0,0
Munich,4,56.4,19.3,1440.0,0.5,5.8,5.1,0
Cologne,11,58.2,18.2,1697.0,0.51,5.7,3.9,1
Munich,8,43.8,17.0,1503.0,0.82,4.8,3.7,1
Hamburg,9,23.8,8.5,803.0,0.88,1.9,7.1,0
Hamburg,4,38.9,12.1,946.0,0.87,4.2,6.3,0
Berlin,8,58.0,13.5,1168.0,0.6,4.9,4.1,0
Berlin,7,44.8,15.7,832.0,0.56,6.4,5.2,0
Hamburg,5,35.0,10.7,1123.0,0.74,3.3,7.9,0
Munich,4,40.0,13.1,800.0,0.37,3.4,7.9,0
Berlin,6,53.4,14.3,1052.0,0.87,4.0,6.2,1
Munich,6,50.5,21.1,1371.0,0.62,5.4,4.8,1
Berlin,2,42.6,16.8,1242.0,0.61,4.5,4.3,0
Frankfurt,3,41.3,18.1,1431.0,0.64,4.7,6.3,0
Munich,11,41.1,17.1,1131.0,0.79,2.6,7.8,0
Hamburg,6,35.8,13.7,800.0,0.42,1.2,9.4,0
Hamburg,4,61.2,17.0,1398.0,0.72,7.1,4.6,1
Berlin,3,41.8,19.5,1974.0,0.84,6.4,3.0,1
Munich,4,57.2,16.3,1232.0,0.69,4.2,5.7,1
Cologne,6,60.2,19.3,1733.0,0.9,8.4,1.9,1
Hamburg,3,55.0,20.4,1937.0,0.65,5.9,3.1,1
Hamburg,1,40.7,15.8,886.0,0.46,4.1,5.8,0
Munich,6,49.0,18.1,1354.0,0.74,4.3,6.2,0
Munich,2,44.8,13.7,842.0,0.43,2.4,7.3,0
Berlin,9,36.0,10.2,800.0,0.7,5.1,6.2,0
Cologne,6,48.2,23.7,2235.0,0.5,3.7,4.8,0
Hamburg,1,33.2,11.0,921.0,0.84,2.2,9.0,0
Munich,11,56.9,18.5,1636.0,0.76,7.2,3.5,1
Hamburg,4,40.4,11.3,896.0,0.73,1.2,8.2,0
Cologne,5,47.0,16.4,1070.0,0.89,2.4,6.7,0
Frankfurt,12,47.8,16.5,1459.0,0.9,4.8,3.2,1
Frankfurt,8,42.4,14.1,1378.0,0.75,4.7,4.5,0
Cologne,3,50.9,18.1,1512.0,0.9,5.8,5.2,1
Munich,11,40.3,18.7,1594.0,0.77,3.6,6.4,0
Frankfurt,9,53.7,16.1,1043.0,0.74,9.2,2.0,1
Munich,9,31.5,10.6,993.0,0.87,2.8,6.6,0
Berlin,12,46.3,13.5,1347.0,0.7,4.3,6.4,0
Hamburg,10,64.4,22.3,1869.0,0.55,5.2,4.0,0
Berlin,11,35.0,10.0,800.0,0.86,3.7,5.3,0
Frankfurt,5,38.2,11.2,1220.0,0.81,4.7,5.1,0
Frankfurt,4,50.1,12.3,800.0,0.9,6.8,2.5,1
Munich,7,46.8,15.9,1349.0,0.82,2.4,6.0,0
Frankfurt,9,48.5,17.5,1587.0,0.62,4.5,5.3,0
Munich,6,49.9,22.2,1993.0,0.64,5.7,4.4,0
Cologne,7,51.3,18.5,1122.0,0.9,6.0,5.3,1
Frankfurt,1,56.1,17.3,1411.0,0.82,5.6,5.3,1
Cologne,4,49.1,12.3,993.0,0.53,5.7,5.5,0
Cologne,2,42.6,10.5,1130.0,0.46,3.0,7.7,0
Hamburg,1,51.7,13.4,1160.0,0.67,7.5,2.8,1
Munich,11,64.0,27.0,2447.0,0.9,7.9,1.0,1
Cologne,7,43.7,15.4,1342.0,0.37,2.3,7.8,0
Hamburg,11,35.3,10.0,800.0,0.42,1.9,8.7,0
Frankfurt,10,56.1,15.8,1304.0,0.73,4.0,7.4,1
Frankfurt,4,43.8,12.0,1267.0,0.55,5.4,5.3,0
Cologne,2,23.3,5.9,800.0,0.4,1.0,10.0,0
Frankfurt,5,53.5,21.8,1923.0,0.9,4.9,4.1,1
Munich,7,39.6,13.1,925.0,0.85,4.6,5.0,0
Frankfurt,2,44.1,10.4,800.0,0.6,4.3,6.1,0
Berlin,7,48.3,23.0,2048.0,0.9,5.2,5.9,0
Frankfurt,3,46.9,12.2,801.0,0.5,3.1,6.8,0
Cologne,8,52.1,15.6,1323.0,0.86,6.1,3.8,1
Hamburg,7,40.6,17.5,1301.0,0.58,3.1,7.5,0
Munich,1,50.1,18.0,965.0,0.88,4.5,4.3,1
Munich,9,42.4,12.7,1114.0,0.65,4.6,7.0,0
Hamburg,6,52.4,13.8,1127.0,0.62,5.4,3.7,1
Munich,12,51.2,14.2,800.0,0.82,5.2,2.9,1
Cologne,4,35.6,9.2,800.0,0.77,2.4,7.6,0
Cologne,6,55.9,18.6,1130.0,0.78,5.1,6.6,1
Hamburg,2,39.6,13.8,1249.0,0.83,4.0,6.6,0
Cologne,2,53.1,17.2,1657.0,0.62,3.2,7.5,1
Berlin,8,48.7,16.1,1458.0,0.89,4.2,5.9,0
Cologne,10,63.4,18.0,1636.0,0.9,6.9,2.9,1
Munich,5,42.8,15.1,1107.0,0.44,2.4,6.1,0
Hamburg,7,41.5,17.7,1524.0,0.9,5.9,1.9,1
Berlin,1,44.8,14.4,1154.0,0.9,6.4,3.8,1
Cologne,6,42.0,13.4,1112.0,0.89,2.3,9.0,0
Berlin,11,53.0,17.9,1625.0,0.9,7.3,3.0,1
Frankfurt,11,28.8,13.0,1272.0,0.74,2.7,8.0,0
Frankfurt,10,34.5,8.8,800.0,0.9,4.1,7.5,0
Berlin,7,34.3,15.8,982.0,0.37,2.7,7.6,0
Frankfurt,10,54.5,19.4,1517.0,0.9,6.8,3.0,1
Frankfurt,7,62.1,20.8,1619.0,0.7,6.8,2.4,1
Frankfurt,10,44.0,18.3,1520.0,0.39,3.2,8.8,0
Hamburg,3,43.3,10.9,1038.0,0.47,2.6,7.9,0
Hamburg,12,45.7,16.8,961.0,0.67,2.4,6.7,0
Frankfurt,9,56.6,20.2,1479.0,0.53,5.9,2.9,1
Munich,12,35.7,9.1,800.0,0.42,4.4,6.8,0
Frankfurt,9,47.4,17.2,1624.0,0.87,5.7,3.2,1
Frankfurt,5,54.8,19.1,1486.0,0.74,5.3,6.6,1
Frankfurt,9,50.0,16.1,1188.0,0.87,3.3,4.0,1
Munich,11,46.9,18.2,1565.0,0.54,3.7,7.8,0
Munich,7,55.0,16.6,1211.0,0.73,7.2,3.3,1
Frankfurt,7,20.0,7.5,800.0,0.31,1.3,8.8,0
Cologne,9,51.8,16.9,1712.0,0.79,5.4,4.4,1
Berlin,2,38.5,11.0,1235.0,0.53,2.2,9.7,0
Hamburg,10,26.7,10.4,800.0,0.56,3.2,7.5,0
Berlin,5,50.1,16.1,1250.0,0.69,4.3,4.8,1
Hamburg,8,58.7,15.2,1089.0,0.9,7.4,1.0,1
Berlin,8,43.6,9.1,800.0,0.54,5.5,4.7,0
Munich,3,54.5,20.5,1851.0,0.75,4.7,5.3,1
Frankfurt,5,61.1,16.7,1821.0,0.61,5.9,2.6,1
Hamburg,12,58.1,20.2,1529.0,0.58,5.0,5.0,0
Frankfurt,4,61.4,20.6,1487.0,0.55,4.0,5.4,0
Frankfurt,4,52.4,16.4,1255.0,0.67,4.0,6.1,1
Munich,2,45.8,21.1,1707.0,0.74,4.9,5.9,0
Hamburg,6,29.0,10.2,800.0,0.89,3.4,8.1,0
Cologne,12,42.5,16.4,1224.0,0.9,4.5,6.4,0
Munich,1,36.6,13.0,1246.0,0.71,3.2,6.1,0
Frankfurt,8,66.7,21.5,1749.0,0.77,8.1,2.3,1
Hamburg,12,43.2,14.4,1403.0,0.9,4.4,5.6,0
Munich,10,46.2,19.8,1656.0,0.9,5.7,3.0,1
Munich,9,50.5,20.1,1390.0,0.8,2.4,8.0,1
Cologne,11,45.4,21.0,1565.0,0.26,1.0,10.0,0
Berlin,5,62.0,21.3,1755.0,0.9,6.6,3.4,1
Hamburg,6,38.8,10.3,800.0,0.8,1.7,6.7,0
Hamburg,1,46.9,14.3,896.0,0.78,4.4,5.7,0
Hamburg,6,37.6,9.0,800.0,0.82,3.3,5.5,0
Hamburg,1,31.8,12.9,1135.0,0.9,5.6,5.3,0
Berlin,5,38.9,11.2,823.0,0.73,4.5,6.0,0
Munich,9,44.6,5.7,800.0,0.9,4.7,5.1,0
Munich,5,40.7,21.0,1498.0,0.9,5.3,4.3,0
Berlin,3,38.1,11.0,800.0,0.9,4.4,5.4,0
Munich,12,30.9,8.6,800.0,0.87,2.4,7.6,0
Berlin,4,44.2,19.7,1909.0,0.82,6.0,3.2,1
Berlin,3,30.0,6.4,800.0,0.29,1.3,7.3,0
Munich,4,52.6,20.9,1401.0,0.5,5.7,5.4,0
Munich,12,45.8,13.5,800.0,0.88,2.3,7.4,0
Berlin,12,30.4,6.2,800.0,0.57,3.3,6.8,0
Cologne,10,41.9,19.1,1365.0,0.65,4.5,5.8,0
Frankfurt,6,37.5,15.3,1529.0,0.8,6.3,4.1,0
Hamburg,3,48.2,18.8,1637.0,0.48,2.5,6.4,0
Berlin,5,58.4,20.6,1492.0,0.8,4.9,3.4,1
Munich,7,26.2,10.5,1077.0,0.86,3.9,5.6,0
Berlin,1,46.2,11.7,800.0,0.61,5.1,5.3,0
Munich,3,43.4,14.8,895.0,0.88,4.6,4.7,0
Berlin,11,51.7,14.5,983.0,0.79,3.7,5.9,1
Munich,6,47.1,11.5,1077.0,0.71,3.8,8.3,0
Cologne,10,37.5,13.7,1326.0,0.68,5.6,2.5,1
Frankfurt,2,41.8,17.4,1314.0,0.9,4.1,5.1,0
Munich,8,37.0,11.2,800.0,0.66,4.3,7.6,0
Cologne,7,55.8,18.0,1125.0,0.69,5.4,4.6,1
Frankfurt,12,45.2,11.7,800.0,0.72,2.7,6.5,0
Munich,2,64.0,21.4,1450.0,0.9,7.8,3.4,1
Hamburg,5,44.4,17.1,1419.0,0.76,5.2,4.9,0
Berlin,4,37.9,15.0,1589.0,0.9,7.3,2.4,1
Berlin,2,29.9,11.6,1086.0,0.55,1.5,8.7,0
Berlin,4,27.0,7.1,800.0,0.53,3.9,5.4,0
Munich,9,29.2,7.8,800.0,0.32,1.0,8.0,0
Hamburg,10,47.7,18.3,1362.0,0.53,5.0,4.9,0
Hamburg,2,50.1,19.1,1608.0,0.54,6.5,2.5,1
Hamburg,10,29.2,9.2,1051.0,0.58,1.0,9.0,0
